Kanji,Romanji
日,hi (day/sun)
月,tsuki (moon/month)
火,hi (fire)
水,mizu (water)
木,ki (tree)
金,kane (gold/money)
土,tsuchi (earth)
山,yama (mountain)
川,kawa (river)
田,ta (rice field)
人,hito (person)
女,onna (woman)
男,otoko (man)
子,ko (child)
生,sei (life)
学,gaku (study)
先,saki (before)
大,dai (big)
小,shou (small)
多,takushi (many)
少,su (few)
長,naga (long)
短,mi (short)
高,taka (high)
安,yasui (cheap/safe)
明,akarui (bright)
暗,kurai (dark)
新,shin (new)
古,furu (old)
白,shiro (white)
黒,kuro (black)
赤,aka (red)
青,ao (blue)
緑,midori (green)
色,iro (color)
形,katachi (shape)
声,koe (voice)
音,oto (sound)
話,hansuru (talk)
見,miru (see)
行,iku (go)
来,kuru (come)
食,taberu (eat)
飲,noru (drink)
買,kau (buy)
売,uru (sell)
使,tsukau (use)
会,au (meet)
読,yomu (read)
書,kaku (write)
知,shiru (know)
思,omou (think)
言,iu (say)
話す,hanasu (speak)
聞,ki (hear)
見える,mieru (visible)
出来,dekiru (can do)
持,motsu (hold)
入,iru (enter)
出,su (exit)
立,tatsu (stand)
座,suwaru (sit)
遊,asobu (play)
働,hataraku (work)
寝,neru (sleep)
起,oku (wake)
会う,au (meet)
始,hajimeru (start)
終,owaru (finish)
通,tsuu (pass)
歩,aruku (walk)
走,hashiru (run)
勝,katsu (win)
負,fu (lose)
知る,shiru (to know)
忘れる,wasureru (to forget)
理解,rika (understand)
期待,kitai (expect)
選ぶ,erabu (choose)
考える,kangaeru (think)
約束,yakusoku (promise)
探す,sagasu (search)
合う,au (match)
似る,niru (resemble)
会話,kaiwa (conversation)
信じる,shinjiru (believe)
楽しい,tanoshii (fun)
難しい,nanashii (difficult)
簡単な,kantan na (simple)
重要な,jūyō na (important)
特別な,tokubetsu na (special)
家,ie (house)
部屋,heya (room)
場所,basho (place)
街,machi (town)
道,michi (road)
車,kuruma (car)
電車,densha (train)
飛行機,hikouki (airplane)
旅行,ryokou (travel)
帰る,kaeru (return home)
出発,shuppatsu (departure)
到着,touchaku (arrival)
毎日,mainichi (every day)
今,ima (now)
時, toki (time)
分,fun (minute)
秒,byou (second)
先月,sakigatsu (last month)
来月,raigatsu (next month)
年,nen (year)
時刻,jikoku (time)
季節,kisetsu (season)
春,haru (spring)
夏,natsu (summer)
秋,aki (autumn)
冬,fuyu (winter)
天気,tenki (weather)
温度,ondo (temperature)
暑い,atsui (hot)
寒い,samui (cold)
晴れ,hare (clear weather)
雨,ame (rain)
雪,yuki (snow)
風,kaze (wind)
空,sora (sky)
星,hoshi (star)
光,hikari (light)
影,kage (shadow)
大切な,taisetsu na (important)
普通の,普通の (normal)
特別な,tokubetsu na (special)
元気な,genki na (healthy)
楽な,raku na (easy)
難しい,nanashii (difficult)
古い,furu (old)
新しい,atarashii (new)
美しい,utsukushii (beautiful)
高い,takai (expensive)
安い,yasui (cheap)
暑い,atsui (hot)
寒い,samui (cold)
優しい,yasashii (kind)
厳しい, kibishii (strict)
近い,chikai (near)
遠い,tooi (far)
速い,hayai (fast)
遅い,osoi (slow)
強い,tsuyoi (strong)
弱い,yowai (weak)
真実,shinjitsu (truth)
嘘,uso (lie)
力,chikara (power)
心,kokoro (heart/mind)
思い,omoi (thought)
感情,kanjou (emotion)
夢,yume (dream)
希望,nozomi (hope)
未来,mirai (future)
過去,kako (past)
生活,seikatsu (life/living)
文化,bunka (culture)
教育,kyouiku (education)
歴史,rekishi (history)
政治,seiji (politics)
経済,keizai (economy)
社会,shakai (society)
技術,gijutsu (technology)
科学,kagaku (science)
自然,shizen (nature)
環境,kankyou (environment)
健康,kenkou (health)
病気,byouki (illness)
医者,isha (doctor)
薬,yaku (medicine)
治療,chiryō (treatment)
治す,naosu (to heal)
運動,undou (exercise)
食事,shokuji (meal)
飲み物,nominomo (beverage)
料理,ryouri (cooking)
味,aji (taste)
食べ物,tabe mono (food)
果物, Kudamono (fruit)
野菜,yasai (vegetable)
肉,niku (meat)
魚,sakana (fish)
米,kome (rice)
塩,shio (salt)
砂糖,satou (sugar)
油,abura (oil)
醤油,shouyu (soy sauce)
酢,su (vinegar)
お茶,ocha (tea)
水分,suibun (moisture)
気分,kibun (mood)
心配,shinpai (worry)
嬉しい,ureshii (happy)
悲しい,kanashii (sad)
怒る,okoru (angry)
笑う,warau (laugh)
泣く,naku (cry)
楽しい,tanoshii (fun)
興味,kyoumi (interest)
愛,ai (love)
友情,yuujo (friendship)
信頼,shinrai (trust)
努力,doryoku (effort)
成功,seikou (success)
失敗,shippai (failure)
経験,keiken (experience)
挑戦,chousen (challenge)
進む,susumu (advance)
戻る,madoru (return)
学ぶ,manabu (learn)
教える,oshieru (teach)
理解する,rikaishiru (understand)
話す,hanasu (speak)
聞く,kiku (listen)
見る,miru (see)
読む,yomu (read)
書く,kaku (write)
遊ぶ,asobu (play)
働く,hataraku (work)
休む,yasumu (rest)
助ける,tasukeru (help)
守る,moru (protect)
変える,kaeru (change)
使う,tsukau (use)
運ぶ,hakobu (carry)
選ぶ,erabu (choose)
買う,kau (buy)
売る,uru (sell)
作る,tsukuru (make)
伝える,tsutaeru (convey)
続ける,tsuzukeru (continue)
終わる,owaru (finish)
始める,hajimeru (start)
調べる,shiraberu (research)
確認,kakunin (confirmation)
約束,yakusoku (promise)
記録,kiroku (record)
発表,happyou (presentation)
意見,iken (opinion)
質問,situmon (question)
答え,答え (answer)
議論,giron (debate)
反論,hanzon (argument)
真実,shinjitsu (truth)
考え,kangae (thought)
計画,keikaku (plan)
問題,mondai (problem)
解決,kai ketsu (solution)
行動,koudou (action)
選択,sentaku (choice)
視点,shiten (perspective)
方法,hōhō (method)
結果,結果 (result)
進捗,shinchoku (progress)
目的,mokuteki (goal)
意味,imi (meaning)
評価,hyouka (evaluation)
視覚,shikaku (visual)
聴覚,choukaku (auditory)
触覚,shokkaku (tactile)
味覚,mikaku (taste)
嗅覚,kyuukaku (olfactory)
健康,kenkou (health)
害,gai (harm)
影響,eikyou (influence)
必要,必要 (necessity)
役割,yakuwari (role)
責任,sekinin (responsibility)
権利,kenri (right)
義務,gimu (duty)
自由,jiyuu (freedom)
平和,heiwa (peace)
戦争,sensou (war)
和平,wahei (peace talks)
協力,kyouryoku (cooperation)
調和,chouwa (harmony)
支援,shien (support)
挑戦,chousen (challenge)
成長,せいちょう (growth)
変化,hennka (change)
感謝,kanja (gratitude)
祝い,iwai (celebration)
贈り物,okurimono (gift)
記念,kinen (commemoration)
思い出,omoide (memory)
将来,shourai (future)
夢,yume (dream)
希望,nozomi (hope)
